Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","167331609","01-Nov 2016 13:30pm","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Nitrate Nitrogen","0.500","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Oxidation Reduction Potential","144.300","mV"
"M36/0473","167331609","01-Nov 2016 13:30pm","pH","7.8",""
"M36/0473","167331609","01-Nov 2016 13:30pm","pH (Field)","7.57",""
"M36/0473","167331609","01-Nov 2016 13:30pm","Potassium, Dissolved","0.920","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Silica, Reactive","19.400","mg/L  as SiO2"
"M36/0473","167331609","01-Nov 2016 13:30pm","Sodium, Dissolved","8.700","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Sulphate","2.800","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Sum of anions","1.310","meq/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Sum of cations","1.320","meq/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Total Coliforms","<1.00","number/100mL"
"M36/0473","167331609","01-Nov 2016 13:30pm","Water Temperature (Field)","13.9","C"
"M36/0473","148923202","15-Oct 2015 09:55am","Alkalinity, Total","53.0","g/m3 as CaCO3"
"M36/0473","148923202","15-Oct 2015 09:55am","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Bicarbonate","64.000","mg/L  at 25°C"
"M36/0473","148923202","15-Oct 2015 09:55am","Calcium, Dissolved","11.900","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Chloride","5.400","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Conductivity","12.8","mS/m"
"M36/0473","148923202","15-Oct 2015 09:55am","Conductivity (Field)","12.60","mS/m"
"M36/0473","148923202","15-Oct 2015 09:55am","Difference in Ion Balance","0.710","%"
"M36/0473","148923202","15-Oct 2015 09:55am","Dissolved Oxygen","2.490","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Dissolved Oxygen Saturation","23.500","%"
"M36/0473","148923202","15-Oct 2015 09:55am","Dissolved Reactive Phosphorus","0.0119","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","E. coli","<1","MPN/100mL"
"M36/0473","148923202","15-Oct 2015 09:55am","Hardness, Total","44.000","g/m3 as CaCO3"
